Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,128.17,128.41,126.94,127.55,464800,126.41
2014-03-03,128.69,130.50,126.94,128.22,718700,127.08
2014-02-24,128.77,130.20,126.95,128.97,801900,127.82
2014-02-18,128.74,129.82,127.78,128.66,681400,127.51
2014-02-10,128.27,130.87,127.67,128.99,1070500,127.84
2014-02-03,123.50,128.13,123.08,127.81,1215300,126.67
2014-01-27,118.84,124.78,114.16,123.50,1723300,122.40
2014-01-21,122.49,123.12,118.98,119.52,1071500,118.45
2014-01-13,121.33,123.57,120.41,121.88,774200,120.79
2014-01-06,120.54,122.17,119.44,120.89,978000,119.81
2013-12-30,119.27,120.29,117.68,119.76,703500,118.69
2013-12-23,119.58,119.76,117.55,118.91,612900,117.85
2013-12-16,119.48,119.99,116.37,118.76,1015400,116.64
2013-12-09,121.70,122.75,118.61,119.24,913200,117.11
2013-12-02,118.18,122.29,116.03,121.70,885700,119.53
2013-11-25,118.13,119.97,116.11,118.56,682200,116.44
2013-11-18,120.22,120.75,116.79,117.56,624200,115.46
2013-11-11,122.14,123.78,119.91,120.22,632500,118.07
2013-11-04,125.77,126.18,120.27,121.84,606900,119.66
2013-10-28,131.77,131.87,123.81,125.71,866000,123.47
2013-10-21,132.50,135.15,126.06,131.47,733900,129.12
2013-10-14,127.97,133.67,127.51,132.64,521900,130.27
2013-10-07,123.66,129.01,123.65,128.96,571800,126.66
2013-09-30,128.75,130.38,124.56,124.91,779000,122.68
2013-09-23,132.51,133.75,128.44,129.30,596500,126.99
2013-09-16,131.68,136.27,128.83,133.04,754700,129.60
2013-09-09,126.43,130.61,125.77,129.19,474300,125.85
2013-09-03,124.78,126.65,121.33,125.59,570900,122.34
2013-08-26,126.18,127.37,122.49,123.90,506500,120.69
2013-08-19,122.41,126.31,121.53,126.23,660700,122.96
2013-08-12,132.97,132.97,122.56,122.79,735500,119.61
2013-08-05,132.11,134.46,131.22,133.12,524600,129.68
2013-07-29,138.41,139.06,133.79,133.95,676500,130.48
2013-07-22,140.47,141.28,135.58,138.98,694100,135.38
2013-07-15,139.76,141.71,139.18,140.36,597500,136.73
2013-07-08,135.11,141.16,134.14,140.45,739400,136.82
2013-07-01,134.81,137.46,132.08,135.01,816400,131.52
2013-06-24,130.43,137.55,128.67,134.91,1287200,131.42
2013-06-17,135.31,136.03,126.91,131.69,813600,127.27
2013-06-10,134.49,135.82,129.00,134.59,700600,130.07
2013-06-03,132.67,137.00,131.60,134.48,880400,129.96
2013-05-28,139.55,140.29,132.30,132.66,1443900,128.21
2013-05-20,138.65,141.95,136.09,138.58,1761200,133.93
2013-05-13,133.20,139.31,132.81,138.69,940400,134.03
2013-05-06,130.21,133.54,129.54,133.29,590000,128.81
2013-04-29,130.58,135.73,129.24,129.79,808700,125.43
2013-04-22,133.16,133.16,129.72,130.22,632300,125.85
2013-04-15,134.72,135.36,130.46,133.07,754100,128.60
2013-04-10,134.24,135.60,133.03,135.57,648700,131.02
