Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,110.85,111.06,109.94,110.68,688400,110.68
2014-03-03,111.98,114.06,110.17,110.94,830000,110.94
2014-02-24,110.91,112.96,109.73,112.43,791600,112.43
2014-02-18,110.77,111.97,109.85,110.91,610800,110.91
2014-02-10,109.15,111.24,108.41,110.96,664000,110.96
2014-02-03,107.93,109.99,105.82,109.18,901100,109.18
2014-01-27,104.95,108.63,103.93,108.09,902900,108.09
2014-01-21,105.10,107.81,104.89,104.89,794700,104.89
2014-01-13,104.06,105.66,103.16,104.74,839700,104.74
2014-01-06,101.84,104.98,101.70,104.44,976100,104.44
2013-12-30,100.54,102.70,99.55,101.59,745100,101.59
2013-12-23,103.96,105.22,99.80,100.40,606200,100.40
2013-12-16,98.59,103.62,98.04,103.50,1076600,100.61
2013-12-09,100.96,102.96,98.18,98.46,987700,95.71
2013-12-02,99.85,101.42,98.42,100.73,1016700,97.92
2013-11-25,101.71,102.28,99.36,99.49,567800,96.72
2013-11-18,103.70,104.26,101.04,101.69,752900,98.85
2013-11-11,100.66,103.12,99.94,103.03,772000,100.16
2013-11-04,104.46,104.99,98.71,100.33,868500,97.53
2013-10-28,109.81,109.83,102.88,104.42,1076900,101.51
2013-10-21,108.65,109.69,106.52,109.64,950200,106.58
2013-10-14,106.81,109.58,106.10,108.82,694100,105.79
2013-10-07,105.68,107.33,103.19,107.28,965800,104.29
2013-09-30,106.68,108.91,105.35,106.48,933000,103.51
2013-09-23,108.94,110.38,105.57,107.09,892300,104.10
2013-09-16,106.65,112.93,104.70,109.36,967700,105.66
2013-09-09,104.75,107.24,104.19,104.80,716000,101.25
2013-09-03,103.10,105.47,100.79,104.81,1082900,101.26
2013-08-26,103.57,104.45,101.26,102.50,742700,99.03
2013-08-19,99.45,103.36,98.21,103.29,851700,99.80
2013-08-12,104.78,105.20,98.29,99.46,1176700,96.10
2013-08-05,103.79,105.30,102.16,105.09,831500,101.53
2013-07-29,109.44,110.25,103.82,103.97,867500,100.45
2013-07-22,110.09,111.82,107.83,109.75,713600,106.04
2013-07-15,110.00,110.69,108.25,110.11,782900,106.39
2013-07-08,105.30,111.44,105.00,110.36,1014300,106.63
2013-07-01,106.27,106.83,103.15,105.18,686800,101.62
2013-06-24,100.43,106.90,99.59,105.47,1253600,101.90
2013-06-17,110.81,111.92,99.71,101.94,1477500,97.87
2013-06-10,110.00,113.19,106.26,110.09,1200000,105.69
2013-06-03,106.88,110.49,106.18,109.81,1120200,105.42
2013-05-28,113.36,113.62,106.55,106.58,1403300,102.32
2013-05-20,112.34,115.85,111.01,112.44,1271600,107.95
2013-05-13,110.74,112.44,110.12,112.43,1050100,107.94
2013-05-06,108.86,111.27,108.56,111.23,1166700,106.79
2013-04-29,107.77,109.65,107.68,108.58,1001700,104.24
2013-04-22,109.90,109.98,107.57,107.77,1150400,103.47
2013-04-15,109.56,110.10,108.07,109.80,1308200,105.41
2013-04-10,108.76,110.90,108.40,110.36,1341400,105.95
