Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,46.87,47.03,46.20,46.44,731900,46.37
2014-03-03,45.29,46.89,44.91,46.86,1064600,46.79
2014-02-24,45.17,45.68,44.96,45.38,1287900,45.31
2014-02-18,43.00,45.92,43.00,45.00,1694600,44.93
2014-02-10,45.68,46.67,45.29,46.24,1138800,46.17
2014-02-03,46.20,46.34,44.46,45.61,958100,45.54
2014-01-27,43.80,46.81,42.99,46.14,895200,46.07
2014-01-21,48.32,48.72,45.83,45.84,1157600,45.77
2014-01-13,48.95,49.00,47.85,47.90,869800,47.83
2014-01-06,48.32,48.98,47.74,48.91,1158600,48.84
2013-12-30,48.49,48.69,47.78,48.19,592600,48.12
2013-12-23,48.53,49.07,48.26,48.34,521200,48.27
2013-12-16,47.97,48.61,47.10,48.43,1839500,48.30
2013-12-09,47.87,50.99,47.44,47.84,1084700,47.71
2013-12-02,47.56,48.08,46.83,47.87,732600,47.74
2013-11-25,48.05,48.13,47.42,47.56,418100,47.43
2013-11-18,48.72,48.97,47.65,47.85,678500,47.72
2013-11-11,47.65,48.97,47.35,48.62,699600,48.49
2013-11-04,47.17,47.83,46.98,47.81,649200,47.68
2013-10-28,44.88,47.43,44.63,47.15,1015300,47.02
2013-10-21,45.65,46.11,44.82,45.00,733900,44.88
2013-10-14,44.32,45.95,44.04,45.70,864200,45.57
2013-10-07,44.15,44.59,43.41,44.57,695400,44.45
2013-09-30,43.08,44.81,42.98,44.49,911500,44.37
2013-09-23,43.89,44.30,43.25,43.39,771800,43.27
2013-09-16,44.72,45.06,43.96,44.08,739700,43.90
2013-09-09,42.86,45.37,42.83,44.11,1026200,43.93
2013-09-03,42.42,42.96,41.85,42.84,735000,42.66
2013-08-26,42.25,42.46,41.57,41.99,755700,41.82
2013-08-19,41.97,42.53,41.31,42.27,639700,42.09
2013-08-12,42.44,42.90,41.70,41.98,646900,41.81
2013-08-05,42.92,43.00,42.31,42.57,617900,42.39
2013-07-29,42.00,43.10,41.81,42.97,905800,42.79
2013-07-22,42.50,42.71,40.81,42.15,803000,41.97
2013-07-15,41.96,42.50,41.81,42.42,607600,42.24
2013-07-08,41.98,42.46,41.54,41.99,631400,41.82
2013-07-01,41.32,41.83,40.82,41.83,740000,41.66
2013-06-24,40.66,41.37,39.90,40.96,869400,40.79
2013-06-17,41.25,41.91,40.19,40.87,912700,40.64
2013-06-10,41.43,41.65,40.61,41.01,638900,40.78
2013-06-03,41.88,42.44,40.75,41.41,878400,41.17
2013-05-28,41.46,42.46,41.26,41.76,827200,41.52
2013-05-20,41.99,42.62,40.89,41.15,1009900,40.91
2013-05-13,42.47,42.89,41.79,42.28,1113100,42.04
2013-05-06,42.62,44.21,40.50,42.64,1193200,42.40
2013-04-29,41.72,42.88,41.44,42.66,610600,42.42
2013-04-22,41.51,42.20,40.83,41.63,474400,41.39
2013-04-15,42.50,42.50,40.71,41.56,652500,41.32
2013-04-10,41.37,42.40,41.28,42.04,647400,41.80
